Longitude,Latitude,datetime,UHI Index,Land_Surface_Temp,Band1,Band2,Band3,Band4
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,,846.0,1036.0,1502.0,1906.0
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,,846.0,1036.0,1502.0,1906.0
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,,846.0,709.0,1668.0,2190.0
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,,846.0,657.0,1668.0,2182.0
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,,846.0,745.0,1728.0,2112.0
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,,846.0,745.0,1728.0,2112.0
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,,846.0,767.0,1728.0,2354.0
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,,1152.0,851.0,1769.0,2216.0
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,,1152.0,835.0,1769.0,2072.0
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,,1152.0,766.0,1460.0,2114.0
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,,1152.0,766.0,1460.0,2114.0
-73.90942,40.81233,24-07-2021 15:53,1.010815469,,1152.0,759.0,1460.0,1658.0
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,,1152.0,743.0,1720.0,1360.0
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,,1152.0,1160.0,1327.0,1874.0
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,,1326.0,1570.0,2028.0,2020.0
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,,1326.0,1618.0,2028.0,1936.0
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,,1326.0,1618.0,2028.0,1936.0
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,,1326.0,1260.0,1785.0,1716.0
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,,1326.0,2334.0,1785.0,2770.0
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,,1326.0,2334.0,1785.0,2770.0
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,,1326.0,1646.0,1785.0,1850.0
-73.909615,40.81175333,24-07-2021 15:54,1.012979184,,1326.0,1354.0,1628.0,1562.0
-73.90963167,40.8117,24-07-2021 15:54,1.012979184,,1326.0,1354.0,1628.0,1562.0
-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,,959.0,2256.0,2288.0,2610.0
-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,,732.0,2380.0,2343.0,2678.0
-73.909675,40.81151,24-07-2021 15:54,1.012979184,,732.0,2380.0,2343.0,2678.0
-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,,732.0,1320.0,2343.0,2556.0
-73.909705,40.81137667,24-07-2021 15:54,1.012979184,,732.0,717.0,2045.0,2630.0
-73.90971333,40.81132,24-07-2021 15:54,1.012979184,,732.0,717.0,2045.0,2630.0
-73.909745,40.81123,24-07-2021 15:54,1.012979184,,732.0,800.0,2045.0,2214.0
-73.909755,40.81120333,24-07-2021 15:54,1.012979184,,732.0,977.0,1644.0,1656.0
-73.90977,40.81116167,24-07-2021 15:54,1.015142899,,732.0,977.0,1644.0,1656.0
-73.90978667,40.81111833,24-07-2021 15:54,1.015263105,,732.0,836.0,1644.0,1570.0
-73.90980833,40.81106,24-07-2021 15:54,1.015263105,,732.0,836.0,1644.0,1570.0
-73.909875,40.810865,24-07-2021 15:54,1.019590535,,849.0,840.0,1513.0,1796.0
-73.9099,40.81081,24-07-2021 15:54,1.019590535,,849.0,840.0,1513.0,1796.0
-73.90992833,40.81075333,24-07-2021 15:54,1.02175425,,849.0,1638.0,2083.0,1938.0
-73.909965,40.810705,24-07-2021 15:54,1.02175425,,849.0,1638.0,2083.0,1938.0
-73.90995167,40.81062833,24-07-2021 15:54,1.023917965,,849.0,1322.0,1852.0,1822.0
